TimeSeries ID,projects/1005631098859/locations/us-central1/tensorboards/4507342364951445504/experiments/tuning-experiment-20241128195543355781/runs/tuning-experiment-run-20241128195543355781/timeSeries/1728284996919099392
97,0.8890292644500732
96,0.8493425846099854
95,0.9251423478126526
94,0.8725708723068237
93,0.8273946046829224
92,0.8618667125701904
91,0.9099423289299011
90,0.9270579218864441
89,0.8788447976112366
88,0.873889148235321
87,0.9030206203460693
86,0.8802396059036255
85,0.9113465547561646
84,0.9226639866828918
83,0.8901596665382385
82,0.913158118724823
81,0.9644179940223694
80,0.8638225197792053
79,0.930365800857544
78,0.9224899411201477
77,0.8890321254730225
76,0.8700358271598816
75,0.8957905769348145
74,0.9296058416366577
73,0.8625001311302185
72,0.9193991422653198
71,0.9047374129295349
70,0.8747057318687439
69,0.8431561589241028
68,0.9299697279930115
67,0.8719828724861145
66,0.920136034488678
65,0.9519647359848022
64,0.8988726139068604
63,0.9401644468307495
62,0.9259456396102905
61,0.8911727070808411
60,0.938039243221283
59,0.906442403793335
58,0.9323068261146545
57,0.9510294795036316
56,0.8679231405258179
55,0.9795529246330261
54,0.9314813017845154
53,0.8905398845672607
52,0.956569492816925
51,0.9078689813613892
50,0.9791115522384644
49,0.9076763391494751
48,0.9531692266464233
47,0.9093074202537537
46,0.9291106462478638
45,1.0681769847869873
44,0.9892485737800598
43,0.9452036023139954
42,0.9556013345718384
41,1.0039118528366089
40,1.0532424449920654
39,0.9868683218955994
38,0.9862717986106873
37,1.0635361671447754
36,1.0731558799743652
35,0.9905281662940979
34,0.9822348356246948
33,0.9950146079063416
32,1.0933235883712769
31,1.0107744932174683
30,1.0499457120895386
29,1.0533246994018555
28,1.0656015872955322
27,1.1018078327178955
26,1.0137505531311035
25,1.095852255821228
24,1.0305449962615967
23,1.0754420757293701
22,1.1465096473693848
21,1.0692217350006104
20,1.0782129764556885
19,1.0475364923477173
18,1.0749902725219727
17,1.1569550037384033
16,1.1083266735076904
15,1.1450010538101196
14,1.2324631214141846
13,1.1411120891571045
12,1.2274675369262695
11,1.3179107904434204
10,1.2230154275894165
9,1.2537237405776978
8,1.298448085784912
7,1.3067675828933716
6,1.2896595001220703
5,1.3092193603515625
4,1.3407793045043945
3,1.3074893951416016
2,1.2910027503967285
1,1.2632842063903809
